velocidad,calle,retraso,velocidad_promedio
41.05,AP Norte >(S),64,17.993880866425993
41.339999999999996,AP Norte >(S),63,17.993880866425993
5.49,AP Norte >(S),137,17.993880866425993
13.84,AP Norte >(S),165,17.993880866425993
21.130000000000003,AP Norte >(S),89,17.993880866425993
20.79,AP Norte >(S),92,17.993880866425993
21.88,AP Norte >(S),84,17.993880866425993
44.77,AP Norte >(N),39,17.993880866425993
24.029999999999998,AP Norte >(S),72,17.993880866425993
42.84,AP Norte >(S),69,17.993880866425993
23.77,AP Norte >(S),73,17.993880866425993
38.96,AP Norte >(S),90,17.993880866425993
36.15,AP Norte >(S),108,17.993880866425993
36.839999999999996,AP Norte >(S),103,17.993880866425993
36.28,AP Norte >(S),107,17.993880866425993
42.42,AP Norte >(S),71,17.993880866425993
35.89,AP Norte >(S),90,17.993880866425993
34.870000000000005,AP Norte >(S),96,17.993880866425993
39.519999999999996,AP Norte >(S),87,17.993880866425993
38.910000000000004,AP Norte >(S),74,17.993880866425993
41.69,AP Norte >(S),75,17.993880866425993
41.49,AP Norte >(S),62,17.993880866425993
23.389999999999997,AP Norte >(S),76,17.993880866425993
41.730000000000004,AP Norte >(S),61,17.993880866425993
40.18,AP Norte >(S),68,17.993880866425993
41.25,AP Norte >(S),63,17.993880866425993
39.65,AP Norte >(S),71,17.993880866425993
35.190000000000005,AP Norte >(S),115,17.993880866425993
37.93,AP Norte >(S),79,17.993880866425993
24.98,AP Norte >(S),67,17.993880866425993
40.36,AP Norte >(S),67,17.993880866425993
41.32,AP Norte >(S),63,17.993880866425993
33.69,AP Norte >(N),54,17.993880866425993
24.68,AP Norte >(N),121,17.993880866425993
24.95,AP Norte >(N),97,17.993880866425993
24.310000000000002,AP Norte >(N),102,17.993880866425993
27.28,AP Norte >(N),100,17.993880866425993
27.47,AP Norte >(N),98,17.993880866425993
26.2,AP Norte >(N),109,17.993880866425993
22.839999999999996,AP Norte >(N),113,17.993880866425993
18.24,AP Norte >(N),90,17.993880866425993
15.55,AP Norte >(N),113,17.993880866425993
10.22,AP Norte >(N),126,17.993880866425993
11.97,AP Norte >(N),128,17.993880866425993
9.370000000000001,AP Norte >(N),139,17.993880866425993
8.1,AP Norte >(N),205,17.993880866425993
3.55,AP Norte >(S),612,17.993880866425993
2.31,AP Norte >(S),348,17.993880866425993
14.05,AP Norte >(N),129,17.993880866425993
3.2700000000000005,AP Norte >(S),668,17.993880866425993
3.38,AP Norte >(S),232,17.993880866425993
15.790000000000001,AP Norte >(N),110,17.993880866425993
8.739999999999998,AP Norte >(N),188,17.993880866425993
17.729999999999997,AP Norte >(N),94,17.993880866425993
3.8,AP Norte >(S),569,17.993880866425993
24.57,AP Norte >(N),100,17.993880866425993
9.05,AP Norte >(N),180,17.993880866425993
15.830000000000002,AP Norte >(N),110,17.993880866425993
5.41,AP Norte >(S),388,17.993880866425993
8.669999999999998,AP Norte >(N),190,17.993880866425993
4.9799999999999995,AP Norte >(S),425,17.993880866425993
4.8,AP Norte >(S),443,17.993880866425993
25.95,AP Norte >(N),111,17.993880866425993
4.62,AP Norte >(S),165,17.993880866425993
10.4,AP Norte >(N),152,17.993880866425993
4.59,AP Norte >(S),167,17.993880866425993
15.410000000000002,AP Norte >(N),114,17.993880866425993
22.619999999999997,AP Norte >(N),105,17.993880866425993
10.9,AP Norte>(N),112,17.993880866425993
14.690000000000001,AP Norte >(N),122,17.993880866425993
8.559999999999999,AP Norte>(N),149,17.993880866425993
15.209999999999999,AP Norte >(N),116,17.993880866425993
9.669999999999998,AP Norte >(N),166,17.993880866425993
26.060000000000002,AP Norte >(N),90,17.993880866425993
6.19,AP Norte >(S),119,17.993880866425993
10.6,AP Norte >(N),149,17.993880866425993
8.46,AP Norte>(N),151,17.993880866425993
14.76,AP Norte >(N),95,17.993880866425993
6.220000000000001,AP Norte >(S),332,17.993880866425993
21.810000000000002,AP Norte >(N),112,17.993880866425993
14.819999999999999,AP Norte >(N),94,17.993880866425993
21.52,AP Norte >(N),114,17.993880866425993
8.559999999999999,AP Norte >(N),192,17.993880866425993
7.55,AP Norte>(N),172,17.993880866425993
4.55,AP Norte >(S),168,17.993880866425993
6.07,AP Norte >(S),341,17.993880866425993
7.6,AP Norte>(N),171,17.993880866425993
5.25,AP Norte >(S),144,17.993880866425993
10.16,AP Norte >(N),157,17.993880866425993
24.14,AP Norte >(N),103,17.993880866425993
17.339999999999996,AP Norte >(N),131,17.993880866425993
16.660000000000004,AP Norte >(N),103,17.993880866425993
6.68,AP Norte >(S),306,17.993880866425993
8.16,AP Norte>(N),158,17.993880866425993
13.080000000000002,AP Norte >(N),149,17.993880866425993
12.47,AP Norte >(S),145,17.993880866425993
7.63,AP Norte >(N),220,17.993880866425993
7.5600000000000005,AP Norte>(N),172,17.993880866425993
12.16,AP Norte >(N),163,17.993880866425993
14.24,AP Norte >(S),122,17.993880866425993
11.06,AP Norte >(N),183,17.993880866425993
13.05,AP Norte >(N),115,17.993880866425993
24.56,AP Norte >(N),100,17.993880866425993
10.17,AP Norte>(N),122,17.993880866425993
11.620000000000001,AP Norte >(N),220,17.993880866425993
18.7,AP Norte >(N),87,17.993880866425993
27.01,AP Norte >(N),103,17.993880866425993
11.819999999999999,AP Norte >(N),215,17.993880866425993
41.35,AP Norte >(S),63,17.993880866425993
12.6,AP Norte >(N),120,17.993880866425993
13.95,AP Norte >(S),125,17.993880866425993
11.68,AP Norte >(N),132,17.993880866425993
12.129999999999999,AP Norte>(N),98,17.993880866425993
37.92,AP Norte >(S),64,17.993880866425993
12.86,AP Norte >(S),140,17.993880866425993
27.1,AP Norte >(N),84,17.993880866425993
27.49,AP Norte >(N),82,17.993880866425993
9.7,AP Norte >(N),166,17.993880866425993
8.5,AP Norte>(N),150,17.993880866425993
11.620000000000001,AP Norte >(S),159,17.993880866425993
13.14,AP Norte >(N),114,17.993880866425993
29.71,AP Norte >(N),108,17.993880866425993
10.44,AP Norte>(N),118,17.993880866425993
10.95,AP Norte >(N),143,17.993880866425993
16.65,AP Norte >(N),103,17.993880866425993
9.59,AP Norte >(S),201,17.993880866425993
24.39,AP Norte >(N),93,17.993880866425993
35.459999999999994,AP Norte >(N),75,17.993880866425993
18.7,AP Norte >(N),87,17.993880866425993
10.86,AP Norte>(N),112,17.993880866425993
25.34,AP Norte >(N),96,17.993880866425993
11.120000000000001,AP Norte >(N),140,17.993880866425993
8.1,AP Norte >(S),245,17.993880866425993
28.6,AP Norte >(N),93,17.993880866425993
19.0,AP Norte >(N),85,17.993880866425993
12.440000000000001,AP Norte >(N),122,17.993880866425993
10.469999999999999,AP Norte>(N),117,17.993880866425993
8.4,AP Norte >(S),235,17.993880866425993
28.76,AP Norte >(N),92,17.993880866425993
10.03,AP Norte >(S),190,17.993880866425993
9.74,AP Norte >(S),197,17.993880866425993
30.5,AP Norte >(N),82,17.993880866425993
9.8,AP Norte >(S),196,17.993880866425993
13.959999999999999,AP Norte >(N),105,17.993880866425993
8.34,AP Norte >(S),237,17.993880866425993
28.15,AP Norte >(N),96,17.993880866425993
10.66,AP Norte >(S),177,17.993880866425993
9.0,AP Norte >(S),217,17.993880866425993
26.939999999999998,AP Norte >(N),104,17.993880866425993
9.940000000000001,AP Norte >(S),192,17.993880866425993
27.330000000000002,AP Norte >(N),101,17.993880866425993
10.870000000000001,AP Norte >(S),172,17.993880866425993
9.0,AP Norte >(S),217,17.993880866425993
28.119999999999997,AP Norte >(N),96,17.993880866425993
26.689999999999998,AP Norte >(N),106,17.993880866425993
18.880000000000003,AP Norte >(N),93,17.993880866425993
25.36,AP Norte >(N),116,17.993880866425993
15.84,AP Norte >(N),110,17.993880866425993
15.060000000000002,AP Norte >(N),118,17.993880866425993
23.29,AP Norte >(N),134,17.993880866425993
4.14,AP Norte >(S),187,17.993880866425993
1.5299999999999998,AP Norte >(S),1473,17.993880866425993
